rank_today;tier;action;Beteckn;Kommun;status;priority_class;score;Inkomdatum;days_left;valid_until;AnmaldHa;area_ha_geom;Avverktyp;Skogstyp;new_since_last_run;needs_survey;survey_reasons;annex4_inside;protected_plant_inside;priobird_inside;threatened_inside;n_key_species_inside;n_key_species_500;nyckelbiotop_share;hcvf_mean;noble_share;tall_share;natura2000_dist_m;natura2000_nearest;reserve_dist_m;reserve_nearest;species_inside;species_within_150;x_sweref;y_sweref;lon;lat
268;3;"Bevaka; begär tillsyn om avverkning inte skett";A 50386-2022;SÖDERKÖPING;Avverkning tillåten: äldre anmälan;Hög;67.9;2022-11-01;-1363;2027-10-31;3.9;3.89628535499442;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; hög skoglig naturvärdessannolikhet (HCVF 87); hög skog >= 20 m på 95 %; Natura 2000 inom 0 m (Flatmossen)";0;0;0;0;5;25;0.00568880939798072;87.2;0;0.947;0;Flatmossen;723;Ängelholm;"Herzogiella seligeri (stubbspretmossa, LC, 2022); Microbregma emarginatum (granbarkgnagare, LC, 2022); Odontoschisma denudatum (kornknutmossa, LC, 2022); Felipes leucopellaeus (kattfotslav, NT, 2022); Porodaedalea pini (tallticka, NT, 2022)";"Hepatica nobilis (blåsippa, LC, fridlyst, 2022); Phaeolus schweinitzii (grovticka, LC, 2022); Pyrola chlorantha (grönpyrola, LC, 2022); Cladonia parasitica (dvärgbägarlav, NT, 2022); Hertelidea botryosa (vedskivlav, NT, 2022); Sarcodon squamosus (motaggsvamp, NT, 2022)";603524;6461012;16.76522;58.27794
269;3;"Bevaka; begär tillsyn om avverkning inte skett";A 47600-2023;ÖDESHÖG;Avverkning tillåten: äldre anmälan;Hög;67.6;2023-10-04;-1026;2028-10-02;0.6;0.557332150746416;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom 150 m (4 a §); rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom 150 m (4 §); hög skog >= 20 m på 97 %";0;0;0;0;0;93;0;59.1;0;0.971;2423;Bonderyd;5275;Kråkeryd;"";"Buxbaumia viridis (grön sköldmossa, LC, bil. IV, fridlyst, 2025); Ficedula parva (mindre flugsnappare, LC, prio. fågel, 2018); Scolytus ratzeburgii (björksplintborre, LC, 2025)";482152;6450531;14.69639;58.19563
270;3;"Bevaka; begär tillsyn om avverkning inte skett";A 34096-2022;FINSPÅNG;Avverkning tillåten: äldre anmälan;Hög;67.3;2022-08-18;-1438;2027-08-17;1.3;1.27512628000157;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 95 %";0;0;0;1;3;52;0;58.2;0;0.95;2682;Ölstadsjön;306;Lotorp;"Sparassis crispa (blomkålssvamp, LC, 2025); Porodaedalea pini (tallticka, NT, 2025); Tricholoma colossus (jättemusseron, VU, 2024)";"Craterellus lutescens (rödgul trumpetsvamp, LC, 2025); Dicranum flagellare (flagellkvastmossa, LC, 2025); Frullania tamarisci (klippfrullania, LC, 2020); Herzogiella seligeri (stubbspretmossa, LC, 2025); Leucobryum glaucum (blåmossa, LC, 2025); Nephroma parile (bårdlav, LC, 2020); Tomicus minor (mindre märgborre, LC, 2025); Hydnellum ferrugineum (dropptaggsvamp, NT, 2025); Sarcodon squamosus (motaggsvamp, NT, 2025); Carbonicola anthracophila (kolflarnlav, NT, 2020); Hertelidea botryosa (vedskivlav, NT, 2025); Hypochaeris maculata (slåtterfibbla, NT, 2020)";546529;6509420;15.80343;58.7224
271;3;"Bevaka; begär tillsyn om avverkning inte skett";A 17739-2026;MOTALA;Avverkning tillåten: äldre anmälan;Hög;67.2;2026-04-10;-107;2031-04-09;1.8;2.19988301305138;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom området (4 §); hög skog >= 20 m på 100 %";0;0;1;0;2;12;0;23.5;0;0.995;6024;Vättern (östra);0;Flädemo;"Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Sarcodon imbricatus (fjällig taggsvamp s.str., NT, 2020)";Motacilla alba (sädesärla, NT, prio. fågel, 2026);502831;6504893;15.04883;58.68423
272;3;"Bevaka; begär tillsyn om avverkning inte skett";A 57697-2023;MOTALA;Avverkning tillåten: äldre anmälan;Hög;67;2023-11-13;-986;2028-11-11;24.8;24.8100268976651;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hotad art (CR/EN/VU) inom området; hög skoglig naturvärdessannolikhet (HCVF 74); hög skog >= 20 m på 97 %";0;0;0;1;1;13;0;73.8;0.001;0.968;5089;Sibborp;4501;Getmans rike;Ulmus glabra (skogsalm, EN, 2024);"";521694;6495914;15.37332;58.60305
273;3;"Bevaka; begär tillsyn om avverkning inte skett";A 18922-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Hög;67;2025-04-17;-465;2030-04-16;2.8;3.02791964500863;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom 150 m (4 §); hög skog >= 20 m på 84 %";0;0;0;0;2;25;0;55.1;0;0.839;5531;Nybygget-Duvhult;5624;Glotternskogen;"Hermanssonia centrifuga (rynkskinn, NT, 2025); Phellinidium ferrugineofuscum (ullticka, NT, 2024)";"Goodyera repens (knärot, VU, fridlyst, 2024); Haliaeetus albicilla (havsörn, LC, prio. fågel, 2025); Glaucidium passerinum (sparvuggla, NT, prio. fågel, 2021); Alleniella complanata (platt fjädermossa, LC, 2009); Phaeolus schweinitzii (grovticka, LC, 2024); Crossocalyx hellerianus (vedtrappmossa, NT, 2025); Felipes leucopellaeus (kattfotslav, NT, 2020); Hertelidea botryosa (vedskivlav, NT, 2024); Microcalicium ahlneri (kortskaftad ärgspik, NT, 2024); Porodaedalea pini (tallticka, NT, 2020); Alectoria sarmentosa (garnlav, VU, 2009); Lophozia ascendens (liten hornflikmossa, VU, 2009)";565169;6514150;16.1266;58.76246
274;3;"Bevaka; begär tillsyn om avverkning inte skett";A 27978-2022;ÅTVIDABERG;Avverkning tillåten: äldre anmälan;Hög;66.4;2022-07-03;-1484;2027-07-02;1.4;1.36291812499946;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom 150 m (4 a §); rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 83 %";0;0;0;0;0;2;0;35.8;0.085;0.834;2571;Stockmossen;2571;Stockmossen;"";"Osmoderma eremita (läderbagge, VU, bil. IV, fridlyst, 2013); Hypebaeus flavipes (VU, 2013)";550953;6461153;15.86904;58.28845
275;3;"Bevaka; begär tillsyn om avverkning inte skett";A 42054-2022;LINKÖPING;Avverkning tillåten: äldre anmälan;Hög;65.7;2022-09-26;-1399;2027-09-25;1.7;1.70867453739638;Föryngringsavverkning;Normal skog;FALSE;TRUE;"nyckelbiotop överlappar; hög skog >= 20 m på 67 %";0;0;0;0;3;14;0.968119819364867;36.6;0.023;0.673;638;Fornborgen-Grävsten;1652;Ytterby;"Alces alces (älg, NT, 2026); Artomyces pyxidatus (kandelabersvamp, NT, 2015); Porodaedalea pini (tallticka, NT, 2026)";"Tomicus minor (mindre märgborre, LC, 2026); Thymelicus lineola (mindre tåtelsmygare, NT, 2009); Cyaniris semiargus (ängsblåvinge, VU, 2009)";553878;6468232;15.92056;58.35167
276;3;"Bevaka; begär tillsyn om avverkning inte skett";A 4125-2025;VALDEMARSVIK;Avverkning tillåten: äldre anmälan;Hög;65.7;2025-01-28;-544;2030-01-27;0.7;0.742948870009417;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom 150 m (4 a §); rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 82 %";0;0;0;0;0;9;0;44.5;0;0.817;5810;Fallingeberg;678;Holmtebo;"";"Triturus cristatus (större vattensalamander, LC, bil. IV, fridlyst, 2012); Hypericum montanum (bergjohannesört, NT, 2025); Lacerta agilis (sandödla, VU, 2023)";591823;6451282;16.56195;58.19318
277;3;"Bevaka; begär tillsyn om avverkning inte skett";A 54785-2022;VALDEMARSVIK;Avverkning tillåten: äldre anmälan;Hög;65.5;2022-11-18;-1346;2027-11-17;8.3;8.46053395497688;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom området (4 §); hög skog >= 20 m på 96 %";0;0;1;0;1;12;0;57.3;0;0.965;5976;Fallingeberg;2465;Holmtebo;Poecile montanus (talltita, NT, prio. fågel, 2023);"Dryocopus martius (spillkråka, LC, prio. fågel, 2024); Pluteus plautus (rynkskölding, LC, 2011); Hypericum montanum (bergjohannesört, NT, 2023)";588828;6448604;16.51001;58.16975
278;3;"Bevaka; begär tillsyn om avverkning inte skett";A 62973-2021;NORRKÖPING;Avverkning tillåten: äldre anmälan;Hög;65;2021-11-04;-1725;2026-11-03;3;2.98953641434941;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 89 %";0;0;0;0;4;44;0.0157136445933718;35.8;0;0.892;1208;Marmorbruket;1099;Marmorbruket;"Craterellus lutescens (rödgul trumpetsvamp, LC, 2006); Hydnellum concrescens (zontaggsvamp, LC, 2010); Phaeolus schweinitzii (grovticka, LC, 2006); Sarcodon imbricatus (fjällig taggsvamp s.str., NT, 2006)";"Platanthera bifolia (nattviol, LC, fridlyst, 2017); Cephalanthera rubra (röd skogslilja, NT, fridlyst, 2011); Hygrocybe conica (toppvaxing, LC, 2010); Hygrocybe reidii (honungsvaxing, LC, 2010); Paragalactinia succosa (gulmjölkig storskål, LC, 2010); Sparassis crispa (blomkålssvamp, LC, 2025); Porodaedalea pini (tallticka, NT, 2022); Selinum carvifolia (krusfrö, NT, 2022); Hydnellum peckii (skarp dropptaggsvamp, NT, 2010); Lathyrus niger (vippärt, NT, 2025); Microglossum olivaceum (olivjordtunga, NT, 2010); Polygala vulgaris (jungfrulin, NT, 2019)";581486;6504726;16.40517;58.67508
279;3;"Bevaka; begär tillsyn om avverkning inte skett";A 54673-2023;KINDA;Avverkning tillåten: äldre anmälan;Hög;64.7;2023-11-05;-994;2028-11-03;2.7;2.6773494415605;Föryngringsavverkning;Ädellövskog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; hög skoglig naturvärdessannolikhet (HCVF 77); hög skog >= 20 m på 93 %; Natura 2000 inom 39 m (Ivranäs)";0;0;0;0;1;27;0;77.3;0.125;0.93;39;Ivranäs;11;Sommenäs;Sanicula europaea (sårläka, NT, 2023);"Hepatica nobilis (blåsippa, LC, fridlyst, 2023); Scytinium lichenoides (traslav, LC, 2023); Porodaedalea pini (tallticka, NT, 2023)";522403;6426540;15.3788;57.97994
280;3;"Bevaka; begär tillsyn om avverkning inte skett";A 15844-2026;LINKÖPING;Avverkning tillåten: äldre anmälan;Hög;64.6;2026-03-26;-122;2031-03-25;6;10.5733140295298;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 90 %";0;0;0;1;4;42;0;57.2;0;0.898;1317;Ycke urskog;1307;Ycke;"Fraxinus excelsior (ask, EN, 2010); Antitrichia curtipendula (fällmossa, LC, 2021); Hygrocybe conica (toppvaxing, LC, 2021); Lactarius scrobiculatus (svavelriska, LC, 2008)";"Platanthera chlorantha (grönvit nattviol, LC, fridlyst, 2010); Actaea spicata (svart trolldruva, LC, 2015); Alleniella complanata (platt fjädermossa, LC, 2015); Homalia trichomanoides (trubbfjädermossa, LC, 2015); Hygrocybe reidii (honungsvaxing, LC, 2011); Lejeunea cavifolia (blåsfliksmossa, LC, 2015); Leptogium saturninum (skinnlav, LC, 2011); Porella platyphylla (trädporella, LC, 2015); Hygrocybe chlorophana (gulvaxing, LC, 2021); Hygrocybe punicea (scharlakansvaxing, NT, 2008); Hypogymnia vittata (skuggblåslav, NT, 2011); Peltigera collina (grynig filtlav, NT, 2021)";523537;6440434;15.39936;58.10468
281;3;"Bevaka; begär tillsyn om avverkning inte skett";A 35736-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Hög;64.5;2025-07-22;-369;2030-07-21;11.6;11.4535192321538;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom området (4 §); hög skog >= 20 m på 71 %";0;0;1;0;1;21;0;54.6;0;0.712;2048;Krankensjöarnas sumpskogar;267;Åksjöskogen;Tetrao urogallus (tjäder, LC, prio. fågel, 2021);"Leucobryum glaucum (blåmossa, LC, 2021); Bryoria furcellata (nästlav, LC, 2021); Lactifluus volemus (mandelriska, LC, 2012); Tomicus minor (mindre märgborre, LC, 2021); Hertelidea botryosa (vedskivlav, NT, 2024); Hydnellum ferrugineum (dropptaggsvamp, NT, 2021); Cladonia parasitica (dvärgbägarlav, NT, 2024); Porodaedalea pini (tallticka, NT, 2021); Sarcodon squamosus (motaggsvamp, NT, 2025); Tragosoma depsarium (raggbock, VU, 2012)";577818;6513855;16.34509;58.75771
282;3;"Bevaka; begär tillsyn om avverkning inte skett";A 47964-2025;ÅTVIDABERG;Avverkning tillåten: äldre anmälan;Hög;63.7;2025-10-02;-297;2030-10-01;0.7;0.745295178704243;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom 150 m (4 a §); rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 64 %";0;0;0;0;0;1;0;37.5;0;0.637;1979;Hägerstad;1296;Mörkviksbergen;"";Triturus cristatus (större vattensalamander, LC, bil. IV, fridlyst, 2008);579005;6447091;16.34257;58.15803
283;3;"Bevaka; begär tillsyn om avverkning inte skett";A 51538-2024;NORRKÖPING;Avverkning tillåten: äldre anmälan;Hög;63.6;2024-11-08;-625;2029-11-07;1.4;1.64659877499603;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom 150 m (4 §); hög skog >= 20 m på 90 %";0;0;0;0;2;27;0;63;0.042;0.897;5271;Magnehults domänreservat;3389;Hjälmstorpenäs;"Hepatica nobilis (blåsippa, LC, fridlyst, 2025); Antitrichia curtipendula (fällmossa, LC, 2024)";"Goodyera repens (knärot, VU, fridlyst, 2025); Grus grus (trana, LC, prio. fågel, 2025); Nephroma parile (bårdlav, LC, 2024); Alleniella complanata (platt fjädermossa, LC, 2024); Leptogium saturninum (skinnlav, LC, 2024); Leucobryum glaucum (blåmossa, LC, 2022); Lobaria pulmonaria (lunglav, NT, 2025); Hygrocybe punicea (scharlakansvaxing, NT, 2024); Porodaedalea pini (tallticka, NT, 2025)";562769;6515190;16.0854;58.77215
284;3;"Bevaka; begär tillsyn om avverkning inte skett";A 18485-2023;ÅTVIDABERG;Avverkning tillåten: äldre anmälan;Hög;63.5;2023-04-26;-1187;2028-04-24;2.5;2.51769033916742;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); ädellövskog 29 %; hög skog >= 20 m på 87 %; Natura 2000 inom 308 m (Herrsätter)";0;0;0;0;0;6;0;54;0.287;0.87;308;Herrsätter;92;Herrsätter;"";Lucanus cervus (ekoxe, LC, fridlyst, 2020);555856;6461035;15.95261;58.28679
285;3;"Bevaka; begär tillsyn om avverkning inte skett";A 62659-2025;BOXHOLM;Avverkning tillåten: äldre anmälan;Hög;63.5;2025-12-17;-221;2030-12-16;0.5;0.49748821000352;Avverkning för att bevara och utveckla /försöksver;Ädellövskog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 71); ädellövskog 58 %; hög skog >= 20 m på 98 %";0;0;0;0;1;14;0;71.4;0.576;0.985;3961;Stortorp;572;Bäck;Antitrichia curtipendula (fällmossa, LC, 2022);"Actaea spicata (svart trolldruva, LC, 2022); Alleniella complanata (platt fjädermossa, LC, 2022); Arthonia vinosa (rostfläck, LC, 2022); Blitum bonus-henricus (lungrot, VU, 2014)";498991;6452076;14.98283;58.20987
286;3;"Bevaka; begär tillsyn om avverkning inte skett";A 57110-2025;ÅTVIDABERG;Avverkning tillåten: äldre anmälan;Hög;63.3;2025-11-18;-250;2030-11-17;3.3;3.30161352170087;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skoglig naturvärdessannolikhet (HCVF 72); hög skog >= 20 m på 86 %";0;0;0;0;1;2;0;71.6;0;0.861;972;Herrsätter;562;Herrsätter;Hertelidea botryosa (vedskivlav, NT, 2025);Lucanus cervus (ekoxe, LC, fridlyst, 2025);557132;6462489;15.97472;58.29968
287;3;"Bevaka; begär tillsyn om avverkning inte skett";A 6353-2026;LINKÖPING;Avverkning tillåten: äldre anmälan;Hög;62.8;2026-02-02;-174;2031-02-01;5.7;6.76640485497322;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom 150 m (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 90 %";0;0;0;2;2;18;0.0138147123302001;42.5;0.003;0.903;1760;Ycke urskog;1755;Ycke;"Fraxinus excelsior (ask, EN, 2024); Sclerophora pallida (gulvit blekspik, VU, 2022)";"Pernis apivorus (bivråk, NT, prio. fågel, 2021); Hieracium gripharium (gripfibbla, EN, 2020); Chrysosplenium alternifolium (gullpudra, NT, 2020); Leontodon hispidus (sommarfibbla, NT, 2020); Peltigera collina (grynig filtlav, NT, 2021); Zygaena minos (klubbsprötad bastardsvärmare, NT, 2021); Zygaena osterodensis (smalsprötad bastardsvärmare, VU, 2023)";521493;6442009;15.36483;58.11893
288;3;"Bevaka; begär tillsyn om avverkning inte skett";A 19654-2025;KINDA;Avverkning tillåten: äldre anmälan;Hög;62.7;2025-04-23;-459;2030-04-22;10.6;10.6633254735101;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom 150 m (4 §); hög skog >= 20 m på 95 %";0;0;0;0;0;31;0;26.6;0;0.949;4602;Föllingsö;9356;Skirsjöskogen;"";"Goodyera repens (knärot, VU, fridlyst, 2024); Tetrao urogallus (tjäder, LC, prio. fågel, 2024); Sparassis crispa (blomkålssvamp, LC, 2017); Ramaria flavescens (tjockfotad fingersvamp, NT, 2017); Polygala vulgaris (jungfrulin, NT, 2024); Xylobolus frustulatus (rutskinn, NT, 2025)";535183;6421133;15.59408;57.93055
289;3;"Bevaka; begär tillsyn om avverkning inte skett";A 53545-2025;FINSPÅNG;Avverkning tillåten: äldre anmälan;Hög;62.4;2025-10-30;-269;2030-10-29;2.3;2.35530431176093;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom 150 m (4 §); hög skoglig naturvärdessannolikhet (HCVF 75); hög skog >= 20 m på 67 %";0;0;0;0;0;8;0;75.1;0;0.668;5300;Stora Mossen (Igelfors);5286;Stora mossen;"";Asio otus (hornuggla, EN, prio. fågel, 2026);533940;6516631;15.58715;58.78833
290;3;"Bevaka; begär tillsyn om avverkning inte skett";A 12494-2026;LINKÖPING;Avverkning tillåten: äldre anmälan;Hög;62.4;2026-03-09;-139;2031-03-08;3.4;3.3871581742953;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; hotad art (CR/EN/VU) inom området; ädellövskog 36 %";0;0;0;1;3;25;0;52;0.355;0.457;1410;Sibborp;2011;Grönkulla;"Hepatica nobilis (blåsippa, LC, fridlyst, 2026); Scorzonera humilis (svinrot, NT, 2021); Arnica montana (slåttergubbe, VU, 2026)";"Dactylorhiza maculata (fläcknycklar, LC, fridlyst, 2021); Platanthera chlorantha (grönvit nattviol, LC, fridlyst, 2021); Euphrasia officinalis (läkeögontröst, EN, 2016); Acolium inquinans (sotlav, LC, 2021); Antitrichia curtipendula (fällmossa, LC, 2021); Gliophorus irrigatus (gråvaxing, LC, 2017); Gliophorus laetus (broskvaxing, LC, 2017); Hygrocybe ceracea (sprödvaxing, LC, 2017); Hygrocybe chlorophana (gulvaxing, LC, 2017); Hygrocybe coccinea (blodvaxing, LC, 2017); Adscita statices (ängsmetallvinge, NT, 2021); Helianthemum nummularium (solvända, NT, 2026)";524568;6492727;15.42242;58.57429
291;3;"Bevaka; begär tillsyn om avverkning inte skett";A 49999-2025;LINKÖPING;Avverkning tillåten: äldre anmälan;Hög;62.3;2025-10-13;-286;2030-10-12;2.2;2.27678778370707;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; prioriterad fågelart inom 150 m (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 76 %";0;0;0;1;2;10;0;36.4;0.008;0.759;3292;Tolefors-Lagerlunda;7065;Kärna mosse;"Fraxinus excelsior (ask, EN, 2022); Lathyrus vernus (vårärt, NT, 2015)";"Platanthera bifolia (nattviol, LC, fridlyst, 2020); Dryocopus martius (spillkråka, LC, prio. fågel, 2022); Alces alces (älg, NT, 2023)";525726;6469765;15.43976;58.36799
292;3;"Bevaka; begär tillsyn om avverkning inte skett";A 15057-2026;MOTALA;Avverkning tillåten: äldre anmälan;Hög;62.3;2026-03-23;-125;2031-03-22;5.3;5.26595932668969;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 94 %";0;0;1;1;1;10;0;57.5;0.024;0.942;2246;Petersborg;2437;Karshult;Bubo bubo (berguv, VU, prio. fågel, 2009);"";504278;6495321;15.0736;58.59825
293;3;"Bevaka; begär tillsyn om avverkning inte skett";A 17413-2022;FINSPÅNG;Avverkning tillåten: äldre anmälan;Hög;62.2;2022-04-27;-1551;2027-04-26;3.2;3.16561985499803;Föryngringsavverkning;Normal skog;FALSE;TRUE;"naturvårdsavtal/biotopskydd överlappar; hög skoglig naturvärdessannolikhet (HCVF 78); hög skog >= 20 m på 100 %";0;0;0;0;4;4;0;77.6;0.143;0.998;4100;Prästängsuddens lövskog;1896;Vallerängstorp;"Alleniella complanata (platt fjädermossa, LC, 2017); Herzogiella seligeri (stubbspretmossa, LC, 2017); Homalia trichomanoides (trubbfjädermossa, LC, 2017); Oxyporus corticola (barkticka, LC, 2024)";"";548310;6537225;15.8402;58.97189
294;3;"Bevaka; begär tillsyn om avverkning inte skett";A 59356-2023;VALDEMARSVIK;Avverkning tillåten: äldre anmälan;Hög;62.1;2023-11-23;-976;2028-11-21;0.8;2.14691505499249;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom 150 m (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 80 %";0;0;0;1;1;17;0.0437456005046631;55.9;0.02;0.803;9745;Harsbo-Sverkersholm;440;Forsums gammelskog;Fraxinus excelsior (ask, EN, 2019);"Cygnus cygnus (sångsvan, LC, prio. fågel, 2017); Emberiza schoeniclus (sävsparv, LC, prio. fågel, 2007); Anas crecca (kricka, NT, prio. fågel, 2007); Gallinago gallinago (enkelbeckasin, NT, prio. fågel, 2016); Prunella modularis (järnsparv, NT, prio. fågel, 2016); Turdus iliacus (rödvingetrast, NT, prio. fågel, 2016); Sturnus vulgaris (stare, VU, prio. fågel, 2007); Daphne mezereum (tibast, LC, 2021); Acolium inquinans (sotlav, LC, 2024); Botaurus stellaris (rördrom, NT, 2007); Vanellus vanellus (tofsvipa, VU, 2016)";587349;6467594;16.49203;58.34055
295;3;"Bevaka; begär tillsyn om avverkning inte skett";A 3130-2025;ÖDESHÖG;Avverkning tillåten: äldre anmälan;Hög;62;2025-01-21;-551;2030-01-20;18.6;18.6065786128133;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; prioriterad fågelart inom området (4 §); hög skog >= 20 m på 99 %";0;0;2;0;2;4;0;44.4;0;0.991;2495;Trehörna;2570;Ödemark;"Tetrao urogallus (tjäder, LC, prio. fågel, 2020); Poecile montanus (talltita, NT, prio. fågel, 2025)";"Hepatica nobilis (blåsippa, LC, fridlyst, 2024); Polygala vulgaris (jungfrulin, NT, 2024)";487957;6447761;14.79529;58.17095
296;3;"Bevaka; begär tillsyn om avverkning inte skett";A 59474-2025;LINKÖPING;Avverkning tillåten: äldre anmälan;Hög;62;2025-11-28;-240;2030-11-27;8;8.03900804299862;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; hög skoglig naturvärdessannolikhet (HCVF 74); hög skog >= 20 m på 99 %";0;0;0;0;1;51;0;73.6;0;0.986;752;Gamla Måla;37;Kottebo;Antitrichia curtipendula (fällmossa, LC, 2023);"Bufo bufo (vanlig padda, LC, fridlyst, 2023); Pannaria conoplea (grynlav, EN, 2015); Alleniella complanata (platt fjädermossa, LC, 2023); Daphne mezereum (tibast, LC, 2022); Frullania tamarisci (klippfrullania, LC, 2022); Homalia trichomanoides (trubbfjädermossa, LC, 2025); Homalothecium sericeum (guldlockmossa, LC, 2022); Lejeunea cavifolia (blåsfliksmossa, LC, 2025); Nephroma parile (bårdlav, LC, 2025); Rhytidiadelphus loreus (västlig hakmossa, LC, 2022); Timmia austriaca (skogstimmia, LC, 2015); Actaea spicata (svart trolldruva, LC, 2023)";527010;6437014;15.4579;58.07376
297;3;"Bevaka; begär tillsyn om avverkning inte skett";A 62647-2025;BOXHOLM;Avverkning tillåten: äldre anmälan;Hög;62;2025-12-17;-221;2030-12-16;1;1.03246101999927;Avverkning för att bevara och utveckla /försöksver;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 72); ädellövskog 24 %; hög skog >= 20 m på 95 %";0;0;0;0;0;13;0;71.8;0.24;0.952;4060;Stortorp;472;Bäck;"";"Actaea spicata (svart trolldruva, LC, 2022); Alleniella complanata (platt fjädermossa, LC, 2022); Antitrichia curtipendula (fällmossa, LC, 2022); Arthonia vinosa (rostfläck, LC, 2022); Blitum bonus-henricus (lungrot, VU, 2014)";499086;6452005;14.98445;58.20923
298;3;"Bevaka; begär tillsyn om avverkning inte skett";A 44652-2022;MJÖLBY;Avverkning tillåten: äldre anmälan;Hög;61.6;2022-10-06;-1389;2027-10-05;0.6;0.594114200992696;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom 150 m (4 a §); rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 100 %";0;0;0;0;0;13;0;61;0.006;1;2661;Solberga;0;Skogssjöområdet;"";Triturus cristatus (större vattensalamander, LC, bil. IV, fridlyst, 2022);507421;6466693;15.12675;58.34109
299;3;"Bevaka; begär tillsyn om avverkning inte skett";A 1281-2023;NORRKÖPING;Avverkning tillåten: äldre anmälan;Hög;61.6;2023-01-10;-1293;2028-01-09;0.6;0.622357784999383;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom området (4 §); hög skog >= 20 m på 99 %; Natura 2000 inom 58 m (Krankensjöarnas sumpskogar)";0;0;1;0;1;4;0;18.6;0;0.99;58;Krankensjöarnas sumpskogar;63;Krankenbäcken;Glaucidium passerinum (sparvuggla, NT, prio. fågel, 2010);"";575240;6512895;16.30023;58.74955
